dae,demand,rrp,demand_pos_RRP,RRP_positive,demand_neg_RRP,RRP_negative,frac_at_neg_RRP,min_temperature,max_temperature,solar_exposure,rainfall,school_day,holiday,year,month,day,weekday,month_sin,month_cos,fr_RRP
,125972.765,1631.221019,125972.765,1631.221019,0.0,0.0,0.0,17.7,21.2,7.8,0.0,1,0,,,,,,,16.31221019
,139399.69,1812.663929,139399.69,1812.663929,0.0,0.0,0.0,18.2,26.9,24.7,0.0,1,0,,,,,,,18.12663929
,139465.675,1809.411329,139465.675,1809.411329,0.0,0.0,0.0,17.4,25.3,24.7,0.0,1,0,,,,,,,18.09411329
,138016.35,1748.504783,138016.35,1748.504783,0.0,0.0,0.0,20.3,35.3,11.7,1.6,1,0,,,,,,,17.48504783
,135255.815,1533.109511,132597.755,1533.109511,2658.06,0.0,0.020833334,21.1,29.3,4.7,0.0,1,0,,,,,,,15.33109511
,120263.515,1432.858692,120263.515,1432.858692,0.0,0.0,0.0,15.9,20.1,21.4,3.2,1,0,,,,,,,14.32858692
,130062.755,1797.789315,130062.755,1797.789315,0.0,0.0,0.0,14.0,27.0,24.1,0.0,1,0,,,,,,,17.97789315
,131525.855,2108.720902,131525.855,2108.720902,0.0,0.0,0.0,16.0,23.2,18.5,0.0,1,0,,,,,,,21.08720902
,131069.4,1960.489673,131069.4,1960.489673,0.0,0.0,0.0,14.8,24.3,21.7,0.0,1,0,,,,,,,19.60489673
,116275.73,1356.471903,116275.73,1356.471903,0.0,0.0,0.0,17.9,32.3,6.9,0.0,1,0,,,,,,,13.56471903
,103462.78,1326.422692,103462.78,1326.422692,0.0,0.0,0.0,15.2,20.8,23.3,15.8,1,0,,,,,,,13.26422692
,123301.835,1789.33409,123301.835,1789.33409,0.0,0.0,0.0,11.6,23.0,22.0,0.0,1,0,,,,,,,17.8933409
,126750.29,2359.743713,126750.29,2359.743713,0.0,0.0,0.0,15.5,22.7,21.2,0.0,1,0,,,,,,,23.59743713
,120764.185,2009.771507,120764.185,2009.771507,0.0,0.0,0.0,15.4,23.5,23.0,0.0,1,0,,,,,,,20.09771507
,114967.345,1366.166576,114967.345,1366.166576,0.0,0.0,0.0,12.6,18.6,22.5,0.8,1,0,,,,,,,13.66166576
,117053.75,1497.140645,117053.75,1497.140645,0.0,0.0,0.0,14.1,21.1,10.8,0.2,1,0,,,,,,,14.97140645
,108344.575,1193.007924,108344.575,1193.007924,0.0,0.0,0.0,15.4,22.6,10.8,0.2,1,0,,,,,,,11.93007924
,106348.78,1109.990721,106348.78,1109.990721,0.0,0.0,0.0,16.2,24.4,20.4,0.0,1,0,,,,,,,11.09990721
,108282.48,1284.445283,108282.48,1284.445283,0.0,0.0,0.0,14.4,23.8,18.6,0.0,1,1,,,,,,,12.84445283
,125828.53,1713.654268,125828.53,1713.654268,0.0,0.0,0.0,16.2,21.7,22.1,0.0,1,0,,,,,,,17.13654268
,124418.415,1812.530791,124418.415,1812.530791,0.0,0.0,0.0,11.2,23.8,22.3,0.0,1,0,,,,,,,18.12530791
,121683.65,1404.885293,121683.65,1404.885293,0.0,0.0,0.0,13.0,19.9,18.7,0.0,1,0,,,,,,,14.04885293
,120929.815,1305.339846,120929.815,1305.339846,0.0,0.0,0.0,14.4,20.4,21.2,0.0,1,0,,,,,,,13.05339846
,108738.82,938.4348698,108738.82,938.4348698,0.0,0.0,0.0,9.4,30.1,20.0,0.0,1,0,,,,,,,9.384348698
,100170.295,775.4287127,100170.295,775.4287127,0.0,0.0,0.0,13.1,18.3,17.5,2.2,1,0,,,,,,,7.754287127
,123787.075,1222.550156,123787.075,1222.550156,0.0,0.0,0.0,10.5,25.5,14.5,0.0,1,0,,,,,,,12.22550156
,125600.86,1153.751473,125600.86,1153.751473,0.0,0.0,0.0,13.0,26.2,4.8,0.0,1,0,,,,,,,11.53751473
,127975.815,1318.464505,127975.815,1318.464505,0.0,0.0,0.0,17.8,24.4,9.4,1.4,1,0,,,,,,,13.18464505
,128319.45,1325.456601,128319.45,1325.456601,0.0,0.0,0.0,16.5,33.5,15.1,0.0,1,0,,,,,,,13.25456601
,119491.32,1298.477386,119491.32,1298.477386,0.0,0.0,0.0,14.2,19.6,19.9,0.0,1,0,,,,,,,12.98477386
,106754.8,1104.556903,106754.8,1104.556903,0.0,0.0,0.0,11.9,22.7,20.8,0.0,1,0,,,,,,,11.04556903
